,% time spent exploring,delta_t,episodes,mean episode reward,reward_for_this_episode,steps
0,99,152,2,5847.0,5847.0,152
1,99,51,3,5898.0,5949.0,203
2,99,610,4,5728.7,5390.0,813
3,99,2758,5,5107.0,3242.0,3571
4,97,6000,6,2885.6,-6000.0,9571
5,96,5356,7,2512.0,644.0,14927
6,96,595,8,2925.3,5405.0,15522
7,96,70,9,3300.9,5930.0,15592
8,96,345,10,3562.4,5655.0,15937
9,96,2338,11,3572.4,3662.0,18275
10,95,203,12,3774.6,5797.0,18478
11,95,316,13,3933.8,5684.0,18794
12,95,585,14,4047.7,5415.0,19379
13,94,5902,15,3765.6,98.0,25281
14,94,327,16,3892.7,5673.0,25608
15,94,1933,17,3903.6,4067.0,27541
16,93,130,18,4019.3,5870.0,27671
17,93,786,19,4085.7,5214.0,28457
18,93,37,20,4184.5,5963.0,28494
19,93,607,21,4244.9,5393.0,29101
20,93,1802,22,4242.7,4198.0,30903
21,92,1255,23,4265.5,4745.0,32158
22,92,813,24,4305.6,5187.0,32971
23,92,2147,25,4286.7,3853.0,35118
24,91,4081,26,4192.0,1919.0,39199
25,91,335,27,4248.7,5665.0,39534
26,91,32,28,4312.3,5968.0,39566
27,91,169,29,4366.6,5831.0,39735
28,91,400,30,4409.1,5600.0,40135
29,91,321,31,4451.4,5679.0,40456
30,89,6000,32,4114.3,-6000.0,46456
31,88,6000,33,3798.2,-6000.0,52456
32,88,2497,34,3789.3,3503.0,54953
33,88,2,35,3854.2,5998.0,54955
34,87,1049,36,3885.6,4951.0,56004
35,87,595,37,3927.8,5405.0,56599
36,87,1378,38,3946.5,4622.0,57977
37,87,888,39,3977.2,5112.0,58865
38,87,41,40,4028.0,5959.0,58906
39,87,180,41,4072.8,5820.0,59086
40,86,3035,42,4045.8,2965.0,62121
41,85,5303,43,3966.1,697.0,67424
42,85,51,44,4012.2,5949.0,67475
43,85,962,45,4035.5,5038.0,68437
44,85,359,46,4071.2,5641.0,68796
45,84,89,47,4111.2,5911.0,68885
46,84,1407,48,4121.4,4593.0,70292
47,84,694,49,4146.1,5306.0,70986
48,84,461,50,4174.5,5539.0,71447
49,83,3361,51,4143.8,2639.0,74808
50,83,29,52,4179.6,5971.0,74837
51,83,64,53,4213.4,5936.0,74901
52,83,615,54,4235.5,5385.0,75516
53,82,3266,55,4207.7,2734.0,78782
54,82,1925,56,4205.3,4075.0,80707
