,delta_t,episodes,mean episode reward,reward_for_this_episode,steps
0,1966,2,4144.0,4144.0,1966
1,6000,3,-763.0,-5670.0,7966
2,504,4,1330.0,5516.0,8470
3,6000,5,-420.0,-5670.0,14470
4,120,6,840.0,5880.0,14590
5,350,7,1645.0,5670.0,14940
6,6000,8,600.0,-5670.0,20940
7,1820,9,1060.0,4280.0,22760
8,6000,10,312.2,-5670.0,28760
9,60,11,875.0,5940.0,28820
10,6000,12,280.0,-5670.0,34820
11,6000,13,-215.8,-5670.0,40820
12,6000,14,-635.4,-5670.0,46820
13,1069,15,-233.5,4991.0,47889
14,287,16,163.6,5723.0,48176
15,408,17,504.1,5612.0,48584
16,6000,18,140.9,-5670.0,54584
17,6000,19,-181.9,-5670.0,60584
18,6000,20,-470.7,-5670.0,66584
19,355,21,-164.0,5665.0,66939
20,6000,22,-426.1,-5670.0,72939
21,6000,23,-664.5,-5670.0,78939
22,6000,24,-882.1,-5670.0,84939
23,6000,25,-1081.6,-5670.0,90939
24,49,26,-800.3,5951.0,90988
25,6000,27,-987.6,-5670.0,96988
26,6000,28,-1161.0,-5670.0,102988
27,387,29,-918.4,5633.0,103375
28,6000,30,-1082.2,-5670.0,109375
29,365,31,-857.7,5655.0,109740
30,228,32,-643.5,5782.0,109968
31,6000,33,-800.6,-5670.0,115968
32,6000,34,-948.1,-5670.0,121968
33,710,35,-763.5,5330.0,122678
34,286,36,-578.1,5724.0,122964
35,6000,37,-719.6,-5670.0,128964
36,1864,38,-585.6,4236.0,130828
37,6000,39,-719.4,-5670.0,136828
38,6000,40,-846.4,-5670.0,142828
39,6000,41,-967.0,-5670.0,148828
40,173,42,-801.0,5837.0,149001
41,6000,43,-916.9,-5670.0,155001
42,911,44,-776.1,5139.0,155912
43,115,45,-624.7,5885.0,156027
44,49,46,-478.6,5951.0,156076
45,6000,47,-591.4,-5670.0,162076
46,149,48,-454.4,5851.0,162225
47,6000,49,-563.0,-5670.0,168225
48,6000,50,-667.2,-5670.0,174225
49,6000,51,-767.3,-5670.0,180225
50,6000,52,-863.4,-5670.0,186225
