,steps,episodes,mean episode reward,reward_for_this_episode,delta_t
0,888,2,5162.0,5162.0,888
1,1776,3,5162.0,5162.0,888
2,2664,4,5162.0,5162.0,888
3,3552,5,5162.0,5162.0,888
4,4440,6,5162.0,5162.0,888
5,5328,7,5162.0,5162.0,888
6,6216,8,5162.0,5162.0,888
7,7104,9,5162.0,5162.0,888
8,7992,10,5162.0,5162.0,888
9,8880,11,5162.0,5162.0,888
10,9768,12,5162.0,5162.0,888
11,10656,13,5162.0,5162.0,888
12,11544,14,5162.0,5162.0,888
13,12432,15,5162.0,5162.0,888
14,13320,16,5162.0,5162.0,888
15,14208,17,5162.0,5162.0,888
16,15096,18,5162.0,5162.0,888
17,15984,19,5162.0,5162.0,888
18,16872,20,5162.0,5162.0,888
19,17760,21,5162.0,5162.0,888
20,18648,22,5162.0,5162.0,888
21,19536,23,5162.0,5162.0,888
22,20424,24,5162.0,5162.0,888
23,21312,25,5162.0,5162.0,888
24,22200,26,5162.0,5162.0,888
25,23088,27,5162.0,5162.0,888
26,23976,28,5162.0,5162.0,888
27,24864,29,5162.0,5162.0,888
28,25752,30,5162.0,5162.0,888
29,26640,31,5162.0,5162.0,888
30,27528,32,5162.0,5162.0,888
31,28416,33,5162.0,5162.0,888
32,29304,34,5162.0,5162.0,888
33,30192,35,5162.0,5162.0,888
34,31080,36,5162.0,5162.0,888
35,31968,37,5162.0,5162.0,888
36,32856,38,5162.0,5162.0,888
37,33744,39,5162.0,5162.0,888
38,34632,40,5162.0,5162.0,888
39,35520,41,5162.0,5162.0,888
40,36408,42,5162.0,5162.0,888
41,37296,43,5162.0,5162.0,888
42,38184,44,5162.0,5162.0,888
43,39072,45,5162.0,5162.0,888
44,39960,46,5162.0,5162.0,888
45,40848,47,5162.0,5162.0,888
46,41736,48,5162.0,5162.0,888
47,42624,49,5162.0,5162.0,888
48,43512,50,5162.0,5162.0,888
49,44400,51,5162.0,5162.0,888
50,45288,52,5162.0,5162.0,888
51,46176,53,5162.0,5162.0,888
52,47064,54,5162.0,5162.0,888
53,47952,55,5162.0,5162.0,888
54,48840,56,5162.0,5162.0,888
55,49728,57,5162.0,5162.0,888
56,50616,58,5162.0,5162.0,888
57,51504,59,5162.0,5162.0,888
58,52392,60,5162.0,5162.0,888
59,53280,61,5162.0,5162.0,888
60,54168,62,5162.0,5162.0,888
61,55056,63,5162.0,5162.0,888
62,55944,64,5162.0,5162.0,888
63,56832,65,5162.0,5162.0,888
64,57720,66,5162.0,5162.0,888
65,58608,67,5162.0,5162.0,888
66,59496,68,5162.0,5162.0,888
67,60384,69,5162.0,5162.0,888
68,61272,70,5162.0,5162.0,888
69,62160,71,5162.0,5162.0,888
70,63048,72,5162.0,5162.0,888
71,63936,73,5162.0,5162.0,888
72,64824,74,5162.0,5162.0,888
73,65712,75,5162.0,5162.0,888
74,66600,76,5162.0,5162.0,888
75,67488,77,5162.0,5162.0,888
76,68376,78,5162.0,5162.0,888
77,69264,79,5162.0,5162.0,888
78,70152,80,5162.0,5162.0,888
79,71040,81,5162.0,5162.0,888
80,71928,82,5162.0,5162.0,888
81,72816,83,5162.0,5162.0,888
82,73704,84,5162.0,5162.0,888
83,74592,85,5162.0,5162.0,888
84,75480,86,5162.0,5162.0,888
85,76368,87,5162.0,5162.0,888
86,77256,88,5162.0,5162.0,888
87,78144,89,5162.0,5162.0,888
88,79032,90,5162.0,5162.0,888
89,79920,91,5162.0,5162.0,888
90,80808,92,5162.0,5162.0,888
91,81696,93,5162.0,5162.0,888
92,82584,94,5162.0,5162.0,888
93,83472,95,5162.0,5162.0,888
94,84360,96,5162.0,5162.0,888
95,85248,97,5162.0,5162.0,888
96,86136,98,5162.0,5162.0,888
97,87024,99,5162.0,5162.0,888
98,87912,100,5162.0,5162.0,888
99,88800,101,5162.0,5162.0,888
100,89688,102,5162.0,5162.0,888
101,90576,103,5162.0,5162.0,888
102,91464,104,5162.0,5162.0,888
103,92352,105,5162.0,5162.0,888
104,93240,106,5162.0,5162.0,888
105,94128,107,5162.0,5162.0,888
106,95016,108,5162.0,5162.0,888
107,95904,109,5162.0,5162.0,888
108,96792,110,5162.0,5162.0,888
109,97680,111,5162.0,5162.0,888
110,98568,112,5162.0,5162.0,888
111,99456,113,5162.0,5162.0,888
112,100344,114,5162.0,5162.0,888
113,101232,115,5162.0,5162.0,888
114,102120,116,5162.0,5162.0,888
115,103008,117,5162.0,5162.0,888
116,103896,118,5162.0,5162.0,888
117,104784,119,5162.0,5162.0,888
118,105672,120,5162.0,5162.0,888
119,106560,121,5162.0,5162.0,888
120,107448,122,5162.0,5162.0,888
121,108336,123,5162.0,5162.0,888
122,109224,124,5162.0,5162.0,888
123,110112,125,5162.0,5162.0,888
124,111000,126,5162.0,5162.0,888
125,111888,127,5162.0,5162.0,888
126,112776,128,5162.0,5162.0,888
127,113664,129,5162.0,5162.0,888
128,114552,130,5162.0,5162.0,888
129,115440,131,5162.0,5162.0,888
130,116328,132,5162.0,5162.0,888
131,117216,133,5162.0,5162.0,888
132,118104,134,5162.0,5162.0,888
133,118992,135,5162.0,5162.0,888
134,119880,136,5162.0,5162.0,888
135,120768,137,5162.0,5162.0,888
136,121656,138,5162.0,5162.0,888
137,122544,139,5162.0,5162.0,888
138,123432,140,5162.0,5162.0,888
139,124320,141,5162.0,5162.0,888
140,125208,142,5162.0,5162.0,888
141,126096,143,5162.0,5162.0,888
142,126984,144,5162.0,5162.0,888
143,127872,145,5162.0,5162.0,888
144,128760,146,5162.0,5162.0,888
145,129648,147,5162.0,5162.0,888
146,130536,148,5162.0,5162.0,888
147,131424,149,5162.0,5162.0,888
148,132312,150,5162.0,5162.0,888
149,133200,151,5162.0,5162.0,888
150,134088,152,5162.0,5162.0,888
151,134976,153,5162.0,5162.0,888
152,135864,154,5162.0,5162.0,888
153,136752,155,5162.0,5162.0,888
154,137640,156,5162.0,5162.0,888
155,138528,157,5162.0,5162.0,888
156,139416,158,5162.0,5162.0,888
157,140304,159,5162.0,5162.0,888
158,141192,160,5162.0,5162.0,888
159,142080,161,5162.0,5162.0,888
160,142968,162,5162.0,5162.0,888
161,143856,163,5162.0,5162.0,888
162,144744,164,5162.0,5162.0,888
163,145632,165,5162.0,5162.0,888
164,146520,166,5162.0,5162.0,888
165,147408,167,5162.0,5162.0,888
166,148296,168,5162.0,5162.0,888
167,149184,169,5162.0,5162.0,888
168,150072,170,5162.0,5162.0,888
169,150960,171,5162.0,5162.0,888
170,151848,172,5162.0,5162.0,888
171,152736,173,5162.0,5162.0,888
172,153624,174,5162.0,5162.0,888
173,154512,175,5162.0,5162.0,888
174,155400,176,5162.0,5162.0,888
175,156288,177,5162.0,5162.0,888
176,157176,178,5162.0,5162.0,888
177,158064,179,5162.0,5162.0,888
178,158952,180,5162.0,5162.0,888
179,159840,181,5162.0,5162.0,888
180,160728,182,5162.0,5162.0,888
181,161616,183,5162.0,5162.0,888
182,162504,184,5162.0,5162.0,888
183,163392,185,5162.0,5162.0,888
184,164280,186,5162.0,5162.0,888
185,165168,187,5162.0,5162.0,888
186,166056,188,5162.0,5162.0,888
187,166944,189,5162.0,5162.0,888
188,167832,190,5162.0,5162.0,888
189,168720,191,5162.0,5162.0,888
190,169608,192,5162.0,5162.0,888
191,170496,193,5162.0,5162.0,888
192,171384,194,5162.0,5162.0,888
193,172272,195,5162.0,5162.0,888
194,173160,196,5162.0,5162.0,888
195,174048,197,5162.0,5162.0,888
196,174936,198,5162.0,5162.0,888
197,175824,199,5162.0,5162.0,888
198,176712,200,5162.0,5162.0,888
199,177600,201,5162.0,5162.0,888
